"","Date","Total","Central","Eastern","Northern","Southern","Western"
"1",2021-06-01,4864040,178733,655202,1468108,2088006,473991
"2",2021-06-02,4878552,179982,657122,1471671,2095332,474445
"3",2021-06-03,4892493,180429,659131,1475581,2102528,474824
"4",2021-06-04,4908546,181068,661705,1478709,2111952,475112
"5",2021-06-05,4922540,181486,663510,1482587,2119439,475518
"6",2021-06-06,4933871,181666,664952,1485350,2126154,475749
"7",2021-06-07,4944574,182098,666275,1488273,2131889,476039
"8",2021-06-08,4956750,182479,667202,1492256,2138327,476486
"9",2021-06-09,4977862,182852,671872,1496424,2149869,476845
"10",2021-06-10,4998856,183601,674815,1500449,2162514,477477
"11",2021-06-11,5020310,183940,677821,1504228,2176454,477867
"12",2021-06-12,5040112,184252,679841,1507930,2189969,478120
"13",2021-06-13,5056276,184710,682249,1510783,2200198,478336
"14",2021-06-14,5072294,185079,684429,1514163,2209872,478751
"15",2021-06-15,5092638,185415,687069,1518087,2222895,479172
"16",2021-06-16,5119639,186294,689727,1522221,2241855,479542
"17",2021-06-17,5144898,186816,692935,1526287,2258832,480028
"18",2021-06-18,5168550,187438,695835,1529964,2274838,480475
"19",2021-06-19,5192997,187741,698399,1533459,2292439,480959
"20",2021-06-20,5216281,187967,699907,1537411,2309601,481395
"21",2021-06-21,5237161,188419,702330,1540961,2323691,481760
"22",2021-06-22,5262778,188675,705281,1546192,2340397,482233
"23",2021-06-23,5294608,189169,708303,1551743,2362631,482762
"24",2021-06-24,5329858,189663,711101,1556979,2388759,483356
"25",2021-06-25,5365378,190094,714134,1563031,2414315,483804
"26",2021-06-26,5396577,190590,715869,1568175,2437765,484178
"27",2021-06-27,5417858,190590,716869,1569399,2456596,484404
"28",2021-06-28,5417858,190590,716869,1569399,2456596,484404
